Pollster,Dates,McCain,Obama,N,Days_to_Election
Rasmussen,10/8/08,47,50,700,27
Strategic Vision (R),10/6-8/08,44,52,1200,29
Times-Union/Sun-Sentinel,10/6-8/08,44,49,600,29
FOX/Rasmussen,10/12/08,46,51,1000,23
InsiderAdvantage,10/13/08,44,48,612,22
Datamar,10/12-13/08,42,47,1328,23
Zogby (Internet),10/9-13/08,47,48,1231,26
CNN/Time,10/11-14/08,46,51,765,24
Times-Union/Sun-Sentinel,10/13-15/08,45,49,600,22
Hamilton (D),10/10-15/08,43,47,700,25
SurveyUSA,10/16/08,49,47,553,19
FOX/Rasmussen,10/19/08,49,48,1000,16
PPP (D),10/16-19/08,47,48,1158,19
Zogby (Internet),10/17-20/08,45,49,1252,18
Quinnipiac,10/16-20/08,44,49,1433,19
Mason-Dixon,10/20-21/08,46,45,625,15
Politico/InsiderAdvantage,10/22/08,47,48,562,13
St Pete/Herald/News 9,10/20-22/08,42,49,800,15
Strategic Vision (R),10/20-22/08,48,46,1200,15
FOX/Rasmussen,10/26/08,47,51,1000,9
Datamar,10/25-26/08,44,49,630,10
Reuters/Zogby,10/23-26/08,47,47,600,12
Suffolk,10/23-26/08,44,49,600,12
Quinnipiac,10/22-26/08,45,47,1435,13
AP-Gfk,10/22-26/08,43,45,600,13
FL Chamber of Commerce,10/26-27/08,41,45,601,9
Times/Bloomberg,10/24-27/08,43,50,639,11
Allstate/National Journal,10/23-27/08,44,45,408,12
CNN/Time,10/23-28/08,47,51,747,12
Mason-Dixon,10/28-29/08,45,47,625,7
Datamar,10/29-30/08,47,47,995,6
ARG,10/29-31/08,46,50,600,6
YouGov/Polimetrix,10/18-11/1/08,47,49,1001,17
FOX/Rasmussen,11/2/08,50,49,1000,2
Datamar,11/1-2/08,48,47,657,3
PPP (D),10/31-11/2/08,48,50,1717,4
Strategic Vision (R),10/31-11/2/08,47,49,1200,4
Quinnipiac,10/27-11/2/08,45,47,1773,8
SurveyUSA,10/31-11/3/08,47,50,691,4
Reuters/Zogby,10/31-11/3/08,48,49,678,4
